DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Mumbai","PE","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","PE","Explosives Act","License","0","","","0"
"0","Mumbai","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","PE","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","PE","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","PE","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","PE","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","PE","Private Security","Security License","0","","","0"
"0","Mumbai","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","PE","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","Contractor A","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Contractor A","Explosives Act","License","0","","","0"
"0","Mumbai","Contractor A","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","Contractor A","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","Contractor A","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","Contractor A","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","Contractor A","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","Contractor A","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","Contractor A","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","Contractor A","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","Contractor A","Private Security","Security License","0","","","0"
