LocationID,Name,State,Status
0,Mumbai,Maharashtra,1
0,Delhi,Delhi,1
0,Bengaluru,Karnataka,1
0,Ahmedabad,Gujarat,1
0,Hyderabad,Telangana,1
0,Chennai,TamilNadu,1
0,Kolkata,West Bengal,1
0,Pune,Maharashtra,1
0,Jaipur,Rajasthan,1
0,Surat,Gujarat,1
0,Lucknow,Uttar Pradesh,1
0,Kanpur,Uttar Pradesh,1
0,Nagpur,Maharashtra,1
0,Patna,Bihar,1
0,Indore,Madhya Pradesh,1
0,Thane,Maharashtra,1
0,Bhopal,Madhya Pradesh,1
0,Visakhapatnam,Andhra Pradesh,1
0,Vadodara,Gujarat,1
0,Firozabad,Uttar Pradesh,1
0,Ludhiana,Punjab,1
0,Rajkot,Gujarat,1
0,Agra,Uttar Pradesh,1
0,Siliguri,West Bengal,1
0,Nashik,Maharashtra,1
0,Faridabad,Haryana,1
0,Patiala,Punjab,1
0,Meerut,Uttar Pradesh,1
0,Kalyan-Dombivali,Maharashtra,1
0,Vasai-Virar,Maharashtra,1
0,Varanasi,Uttar Pradesh,1
0,Srinagar,Jammu and Kashmir,1
0,Dhanbad,Jharkhand,1
0,Jodhpur,Rajasthan,1
0,Amritsar,Punjab,1
0,Raipur,Chhattisgarh,1
0,Allahabad,Uttar Pradesh,1
0,Coimbatore,TamilNadu,1
0,Jabalpur,Madhya Pradesh,1
0,Gwalior,Madhya Pradesh,1
0,Vijayawada,Andhra Pradesh,1
0,Madurai,TamilNadu,1
0,Guwahati,Assam,1
0,Chandigarh,Chandigarh,1
0,Hubli-Dharwad,Karnataka,1
0,Amroha,Uttar Pradesh,1
0,Moradabad,Uttar Pradesh,1
0,Gurgaon,Haryana,1
0,Aligarh,Uttar Pradesh,1
0,Solapur,Maharashtra,1
0,Ranchi,Jharkhand,1
0,Jalandhar,Punjab,1
0,Tiruchirappalli,TamilNadu,1
0,Bhubaneswar,Orissa,1
0,Salem,TamilNadu,1
0,Warangal,Telangana,1
0,Mira-Bhayandar,Maharashtra,1
0,Thiruvananthapuram,Kerala,1
0,Bhiwandi,Maharashtra,1
0,Saharanpur,Uttar Pradesh,1
0,Guntur,Andhra Pradesh,1
0,Amravati,Maharashtra,1
0,Bikaner,Rajasthan,1
0,Noida,Uttar Pradesh,1
0,Jamshedpur,Jharkhand,1
0,Bhilai Nagar,Chhattisgarh,1
0,Cuttack,Orissa,1
0,Kochi,Kerala,1
0,Udaipur,Rajasthan,1
0,Bhavnagar,Gujarat,1
0,Dehradun,Uttarakhand,1
0,Asansol,West Bengal,1
0,Nanded-Waghala,Maharashtra,1
0,Ajmer,Rajasthan,1
0,Jamnagar,Gujarat,1
0,Ujjain,Madhya Pradesh,1
0,Sangli,Maharashtra,1
0,Loni,Uttar Pradesh,1
0,Jhansi,Uttar Pradesh,1
0,Pondicherry,Puducherry,1
0,Nellore,Andhra Pradesh,1
0,Jammu,Jammu and Kashmir,1
0,Belagavi,Karnataka,1
0,Raurkela,Orissa,1
0,Mangaluru,Karnataka,1
0,Tirunelveli,TamilNadu,1
0,Malegaon,Maharashtra,1
0,Gaya,Bihar,1
0,Tiruppur,TamilNadu,1
0,Davanagere,Karnataka,1
0,Kozhikode,Kerala,1
0,Akola,Maharashtra,1
0,Kurnool,Andhra Pradesh,1
0,Bokaro Steel City,Jharkhand,1
0,Rajahmundry,Andhra Pradesh,1
0,Ballari,Karnataka,1
0,Agartala,Tripura,1
0,Bhagalpur,Bihar,1
0,Latur,Maharashtra,1
0,Dhule,Maharashtra,1
0,Korba,Chhattisgarh,1
0,Bhilwara,Rajasthan,1
0,Brahmapur,Orissa,1
0,Mysore,Karnatka,1
0,Muzaffarpur,Bihar,1
0,Ahmednagar,Maharashtra,1
0,Kollam,Kerala,1
0,Raghunathganj,West Bengal,1
0,Bilaspur,Chhattisgarh,1
0,Shahjahanpur,Uttar Pradesh,1
0,Thrissur,Kerala,1
0,Alwar,Rajasthan,1
0,Kakinada,Andhra Pradesh,1
0,Nizamabad,Telangana,1
0,Sagar,Madhya Pradesh,1
0,Tumkur,Karnataka,1
0,Hisar,Haryana,1
0,Rohtak,Haryana,1
0,Panipat,Haryana,1
0,Darbhanga,Bihar,1
0,Kharagpur,West Bengal,1
0,Aizawl,Mizoram,1
0,Ichalkaranji,Maharashtra,1
0,Tirupati,Andhra Pradesh,1
0,Karnal,Haryana,1
0,Bathinda,Punjab,1
0,Rampur,Uttar Pradesh,1
0,Shivamogga,Karnataka,1
0,Ratlam,Madhya Pradesh,1
0,Modinagar,Uttar Pradesh,1
0,Durg,Chhattisgarh,1
0,Shillong,Meghalaya,1
0,Imphal,Manipur,1
