DOCID,Site,Contractor,Act,Activity,Frequency,NextDueDate,EffectiveDate,RemindDays,IsActive,Maker,Checker
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form X Employment Card","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XI Services Certificate","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XIX Wage Slip","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XVI Register of Employment","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XVII Register of wages","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XX Register of Deductions for Damage or Loss","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XXI Register of Fines","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XXII Register of Advances","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Form XXIII Register of Over Times","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","From XIII Register of workmen by Contractor","Monthly","25/04/2017","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Obtaining of License as a CONTRACTOR","As Needed","","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Status of Form V","As Needed","","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Submission of Form VI'-A (commencement of work)","As Needed","","","10","1","",""
"0","JAMNAGAR","BRUNEL INDIA PVT LTD","CLRA '- Cont","Submission of Returns","Half Yearly","30/07/2017","","10","1","",""
