SiteID,Site,Site_Code,Company,Customer,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"313","Mumbai","Si_Mum_00313","Demo Company","Mynd","Maharashtra","","","","Bandra Mumbai","","","Active"
"314","Kolkata","Si_Kol_00314","Demo Company","Mynd","West Bengal","","","","Kolkata","","","Active"
"315","Chennai","Si_Che_00315","Demo Company","Mynd","TamilNadu","","","","Chennai","","","Active"
"316","Bengaluru","Si_Ben_00316","Demo Company","Mynd","Karnataka","","","","Bengaluru","","","Active"
"317","Hyderabad","Si_Hyd_00317","Demo Company","Mynd","Andhra Pradesh","","","","Hyderabad","","","Active"
"318","New Delhi","Si_New_00318","Demo Company","Mynd","Delhi","","","","New Delhi","","","Active"
"319","280 Gurgaon","Si_280_00319","Demo Company","Mynd","Haryana","","","","Udyog vihar Phase IV Gurgaon Haryana","","","Active"
"320","835 Gurgaon","Si_835_00320","Demo Company","Mynd","Haryana","","","","Udyog Vihar Phase V Gurgaon Haryana","","","Active"
"349","Test Site 15","Si_Tes_00349","Demo Company","Mynd","Delhi","","","","","","","Active"
"448","Gurgaon2","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"449","Gurgaon3","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"450","Gurgaon6","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"451","Gurgaon4","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"452","Gurgaon5","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"453","Site_Code","Si_Sit_00453","Demo Company","Mynd","Telangana","Adilabad","","","","","","IN Active"
