DocID,Site,Act,Activity,Frequency,NextDueDate,RemindDays,IsActive,Maker1,Maker2,Checker1,Checker2,Auditor1,Auditor2,ActionType,Applicable_To_Client
0,120 milestone Karnal,Building and Const.,Deposition of Cess,As Needed,02-01-2017 00:00,0,0,,,,,,,,
0,120 milestone Karnal,Building and Const.,Principal Employer Registration/Renewal/Amendments,As Needed,02-01-2017 00:00,0,0,,,,,,,,
0,120 milestone Karnal,Building and Const.,Submission of Returns,Yearly,30-01-2017 00:00,15,0,,,,,,,,
0,120 milestone Karnal,CGST Act,GST Payment Challan,Monthly,01-04-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CGST Act,GSTR - 1,Monthly,10-07-2018 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CGST Act,GSTR - 3B,Monthly,20-07-2018 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CGST Act,Reconciliation of Input with GSTR 2A,As Needed,01-04-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form A Employee Register (Central Rules),Monthly,25-04-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form B Wage Register (Central Rules),Monthly,25-04-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form C Register of Loan Recoveries (Central Rules),Monthly,25-04-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form D Attendance Register (Central Rules),Monthly,25-04-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form II Muster Roll-cum-Wages Register,Monthly,09-05-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form X Employment Card,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XI Service Certificate,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XIV Employment Card,Monthly,28-02-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XIX Wage Slip,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XV Service Certificate,Monthly,28-02-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XVI Register of Muster Roll,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XVII Register of wages,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XX Register of Deduction for Damage or Loss,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XXI Register of Fine,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XXII Register of Advance,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Form XXIII Register of Over Time,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,From XIII Register of workmen by Contractor,Monthly,25-01-2017 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Half Yearly Returns Form XXIV,Half Yearly,28-02-2019 00:00,10,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,IN OUT Register,Monthly,19-03-2019 00:00,0,0,,,,,,,,
0,120 milestone Karnal,CLRA - Cont,Obtaining of License as a CONTRACTOR,As Needed,02-01-2017 00:00,0,0,,,,,,,,
