DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Kolkata","PE","DVAT","Tax Deposit","20","","","0"
"0","Kolkata","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Kolkata","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","Kolkata","SIS","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","PE","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","SIS","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","PE","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","SIS","DVAT","Tax Deposit","20","","","0"
"0","Zirakpur","PE","DVAT","Tax Deposit","20","","","0"
"0","Zirakpur","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Zirakpur","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","Zirakpur","SIS","DVAT","Tax Deposit","20","","","0"
