DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays,IsActive
"0","Mumbai","PE","DVAT","Tax Deposit","20","","","0","1"
"0","Mumbai","PE","Test Act","Testing activity","10","1","2016","0","1"
"0","Mumbai","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0","1"
"0","Mumbai","Quess Corp Pvt. Limited","Test Act","Testing activity","10","1","2016","0","1"
"0","Mumbai","SIS","DVAT","Tax Deposit","20","","","0","1"
"0","Mumbai","SIS","Test Act","Testing activity","10","1","2016","0","1"
"0","New Delhi","PE","DVAT","Tax Deposit","20","","","0","1"
"0","New Delhi","PE","Test Act","Testing activity","10","1","2016","0","1"
"0","New Delhi","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0","1"
"0","New Delhi","Quess Corp Pvt. Limited","Test Act","Testing activity","10","1","2016","0","1"
"0","New Delhi","SIS","DVAT","Tax Deposit","20","","","0","1"
"0","New Delhi","SIS","Test Act","Testing activity","10","1","2016","0","1"
"0","Zirakpur","PE","DVAT","Tax Deposit","20","","","0","1"
"0","Zirakpur","PE","Test Act","Testing activity","10","1","2016","0","1"
"0","Zirakpur","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0","1"
"0","Zirakpur","Quess Corp Pvt. Limited","Test Act","Testing activity","10","1","2016","0","1"
"0","Zirakpur","SIS","DVAT","Tax Deposit","20","","","0","1"
"0","Zirakpur","SIS","Test Act","Testing activity","10","1","2016","0","1"
