DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Dwarka New Delhi","PE","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","","0"
"0","Dwarka New Delhi","PE","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0"
"0","Dwarka New Delhi","PE","Apprentices Act","Return","31","2","","0"
"0","Dwarka New Delhi","PE","Boilers Act","Annual Report","0","","","0"
"0","Dwarka New Delhi","PE","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Dwarka New Delhi","PE","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Dwarka New Delhi","PE","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","PE","Payment of Wages","Form I Register of Fine","25","","","0"
"0","Dwarka New Delhi","PE","Payment of Wages","Form II Register of Deduction","25","","","0"
"0","Dwarka New Delhi","PE","Payment of Wages","Form III Register of Advance","25","","","0"
"0","Dwarka New Delhi","PE","Payment of Wages","Form IV Annual Return","15","2","","0"
"0","Dwarka New Delhi","PE","Payment of Wages","Form-III Register of Advance","25","","","0"
"0","Dwarka New Delhi","PE","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","PE","Professional Tax","Registration","0","","","0"
"0","Dwarka New Delhi","PE","Professional Tax","Remittance by Due Date","30","","","0"
"0","Dwarka New Delhi","PE","Professional Tax","Returns under the Act","30","","","0"
"0","Dwarka New Delhi","PE","Prohibition of Smoking","Notice Display","0","","","0"
"0","Dwarka New Delhi","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Dwarka New Delhi","Contractor A","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","","0"
"0","Dwarka New Delhi","Contractor A","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0"
"0","Dwarka New Delhi","Contractor A","Apprentices Act","Return","31","2","","0"
"0","Dwarka New Delhi","Contractor A","Boilers Act","Annual Report","0","","","0"
"0","Dwarka New Delhi","Contractor A","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Dwarka New Delhi","Contractor A","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Dwarka New Delhi","Contractor A","DVAT","Tax Deposit","20","","","0"
"0","Dwarka New Delhi","Contractor A","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Dwarka New Delhi","Contractor A","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Dwarka New Delhi","Contractor A","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Dwarka New Delhi","Contractor A","Inter State Migrant","Return & Reports","15","2","","0"
"0","Dwarka New Delhi","Contractor A","Payment of Wages","Form I Register of Fine","25","","","0"
"0","Dwarka New Delhi","Contractor A","Payment of Wages","Form II Register of Deduction","25","","","0"
"0","Dwarka New Delhi","Contractor A","Payment of Wages","Form III Register of Advance","25","","","0"
"0","Dwarka New Delhi","Contractor A","Payment of Wages","Form IV Annual Return","15","2","","0"
"0","Dwarka New Delhi","Contractor A","Payment of Wages","Form-III Register of Advance","25","","","0"
"0","Dwarka New Delhi","Contractor A","Private Security","Security License","0","","","0"
"0","Dwarka New Delhi","Contractor A","Professional Tax","Registration","0","","","0"
"0","Dwarka New Delhi","Contractor A","Professional Tax","Remittance by Due Date","30","","","0"
"0","Dwarka New Delhi","Contractor A","Professional Tax","Returns under the Act","30","","","0"
"0","Dwarka New Delhi","Contractor A","Prohibition of Smoking","Notice Display","0","","","0"
"0","Dwarka New Delhi","Contractor A","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Dwarka New Delhi","Contractor A","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
