DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Bangalore","PE","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","PE","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","PE","DVAT","Tax Deposit","20","","","0"
"0","Bangalore","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Bangalore","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Bangalore","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Bangalore","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","Bangalore","PE","Private Security","Security License","0","","","0"
"0","Bangalore","PE","Prohibition of Smoking","Notice Display","0","","","0"
"0","Bangalore","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Bangalore","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","CBRE South Asia Private Limited","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","CBRE South Asia Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Bangalore","CBRE South Asia Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Bangalore","CBRE South Asia Private Limited","Private Security","Security License","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Prohibition of Smoking","Notice Display","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Bangalore","CBRE South Asia Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Bangalore","Contractor A","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","Contractor A","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","Contractor A","DVAT","Tax Deposit","20","","","0"
"0","Bangalore","Contractor A","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Bangalore","Contractor A","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Bangalore","Contractor A","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Bangalore","Contractor A","Inter State Migrant","Return & Reports","15","2","","0"
"0","Bangalore","Contractor A","Private Security","Security License","0","","","0"
"0","Bangalore","Contractor A","Prohibition of Smoking","Notice Display","0","","","0"
"0","Bangalore","Contractor A","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Bangalore","Contractor A","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Bangalore","Contractor B","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","Contractor B","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Bangalore","Contractor B","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Bangalore","Contractor B","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Bangalore","Contractor B","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Bangalore","Contractor B","Inter State Migrant","Return & Reports","15","2","","0"
"0","Bangalore","Contractor B","Private Security","Security License","0","","","0"
"0","Bangalore","Contractor B","Prohibition of Smoking","Notice Display","0","","","0"
"0","Bangalore","Contractor B","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Bangalore","Contractor B","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Bangalore","Deneb & Polluxe Tours & Travels Private Limited","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","Deneb & Polluxe Tours & Travels Private Limited","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","Deneb & Polluxe Tours & Travels Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Bangalore","Deneb & Polluxe Tours & Travels Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Bangalore","Deneb & Polluxe Tours & Travels Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
