DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Bangalore","PE","Apprentices Act","Half Yearly (Form APP-2 Details of new apprentics)","30","4","","0"
"0","Bangalore","PE","Apprentices Act","Half Yearly (Form APP-3 notice of completion of training)","30","4","","0"
"0","Bangalore","PE","Apprentices Act","Return","31","2","","0"
"0","Bangalore","PE","Boilers Act","Annual Report","0","","","0"
"0","Bangalore","PE","Bonus Act","Form A Computation of Allocable Surplus","31","10","","0"
"0","Bangalore","PE","Bonus Act","Form B Set -on and set-off of Allocable Surplus","31","10","","0"
"0","Bangalore","PE","Bonus Act","Form C Register of Bonus Paid to Employees","30","11","","0"
"0","Bangalore","PE","Bonus Act","Form D Annual Return","31","12","","0"
"0","Bangalore","PE","Building and Const.","Deposition of Cess","0","","","0"
"0","Bangalore","PE","Building and Const.","Principal Employer Registration/Renewal/Amendments","0","","","0"
"0","Bangalore","PE","Building and Const.","Register Maintenance","30","2","","0"
"0","Bangalore","PE","Building and Const.","Submission of Returns","30","2","","0"
"0","Bangalore","PE","Child Labour","Disply of Notice/Abstract","30","12","","0"
"0","Bangalore","PE","Child Labour","Form 2 Register of Children employed or Permitted to Work","30","12","","0"
"0","Bangalore","PE","CLRA - Cont","Form X Employment Card","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XI Services Certificate","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XIX Wage Slip","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XVI Register of Employment","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XVII Register of wages","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XX Register of Deductions for Damage or Loss","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XXI Register of Fines","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XXII Register of Advances","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Form XXIII Register of Over Times","25","","","0"
"0","Bangalore","PE","CLRA - Cont","From XIII Register of workmen by Contractor","25","","","0"
"0","Bangalore","PE","CLRA - Cont","Obtaining of License as a CONTRACTOR","0","","","0"
"0","Bangalore","PE","CLRA - Cont","Status of Form V","0","","","0"
"0","Bangalore","PE","CLRA - Cont","Submission of Form VI-A (commencement of work)","0","","","0"
"0","Bangalore","PE","CLRA - Cont","Submission of Returns","31","2","","0"
"0","Bangalore","PE","CLRA - PE","Principal Employer Registration/Renewal/Amendments","0","","","0"
"0","Bangalore","PE","CLRA - PE","Register Maintenance","25","","","0"
