DocID,Site,Act,Activity,Frequency,NextDueDate,EffectiveDate,RemindDays,IsActive,Maker,Checker,Response,Message
"18896","Ahmedabad","Bonus Act","Form A Computation of Allocable Surplus","Yearly","31/10/17","","20","0","","","Success",""
"18897","Ahmedabad","Bonus Act","Form B Set '-on and set'-off of Allocable Surplus","Yearly","31/10/17","","20","0","","","Success",""
"18898","Ahmedabad","Bonus Act","Form C Register of Bonus Paid to Employees","Yearly","30/11/17","","90","0","","","Success",""
"18899","Ahmedabad","Bonus Act","Form D Annual Return","Yearly","31/12/17","","20","0","","","Success",""
"18657","Ahmedabad","Bonus Act","Time Limit for Payment of Bonus","As Needed","","","0","0","","","Success",""
"18900","Ahmedabad","Child Labour","Disply of Notice/Abstract","As Needed","","","0","1","","","Success",""
"18658","Ahmedabad","Employ Comp.","Submission of Returns","Yearly","31/01/18","","0","1","","","Success",""
"18659","Ahmedabad","Employment Exch.","Notification/Intimation of Vacancy ( 15 days prior to interview )","As Needed","","","0","0","","","Success",""
"18901","Ahmedabad","Employment Exch.","Quarterly Return (ER'-I)","Quarterly","29/04/17","","10","0","","","Success",""
"18903","Ahmedabad","Equal Remu.","Register Maintanence (Form D)","Monthly","25/07/17","","5","1","","","Success",""
"18660","Ahmedabad","ESI","Accident Report","As Needed","","","0","1","","","Success",""
"18904","Ahmedabad","ESI","Annual Information (Form 01A)","Yearly","31/01/18","","10","1","","","Success",""
"18905","Ahmedabad","ESI","ESIC ECR","Monthly","21/07/17","","10","1","","","Success",""
"18906","Ahmedabad","ESI","Monthly Deposit","Monthly","21/07/17","","10","1","","","Success",""
"18661","Ahmedabad","ESI","Registration","As Needed","","","0","1","","","Success",""
"18662","Ahmedabad","Gratuity","Display of abstract of acts and rules","As Needed","","","0","1","","","Success",""
"18663","Ahmedabad","Gratuity","Form A Notice of Opening","As Needed","","","0","1","","","Success",""
"18664","Ahmedabad","Gratuity","Form B If Any Change Occurred","As Needed","","","0","1","","","Success",""
"18665","Ahmedabad","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals","As Needed","","","0","1","","","Success",""
"18666","Ahmedabad","Gratuity","Form'-C Notice of Closure","As Needed","","","0","1","","","Success",""
"18907","Ahmedabad","LWF","Annual Return","Yearly","31/01/18","","10","0","","","Success",""
"18908","Ahmedabad","LWF","Register of Payment of Unclaimed Wages","Quarterly","25/07/17","","10","1","","","Success",""
"18909","Ahmedabad","LWF","Register of Wages","Monthly","25/07/17","","5","1","","","Success",""
"18667","Ahmedabad","LWF","Registration if Applicable","As Needed","","","0","1","","","Success",""
"18668","Ahmedabad","LWF","Remittance Returns cum Challans","Half Yearly","25/07/17","","5","1","","","Success",""
"18910","Ahmedabad","Maternity","Register Maintenance","Monthly","25/07/17","","10","1","","","Success",""
"18911","Ahmedabad","Maternity","Submission of Annual Returns","Yearly","31/01/18","","10","1","","","Success",""
"18912","Ahmedabad","Min. Wages","Form I Register of Fine","Monthly","25/07/17","","5","1","","","Success",""
"18913","Ahmedabad","Min. Wages","Form II Register of Deduction","Monthly","25/07/17","","5","1","","","Success",""
"18914","Ahmedabad","Min. Wages","Form III Annual Returns","Yearly","31/01/18","","10","1","","","Success",""
"18915","Ahmedabad","Min. Wages","Form IV Register of Overtime","Monthly","25/07/17","","5","1","","","Success",""
"18916","Ahmedabad","Payment of Wages","Form I Register of Fine","Monthly","25/07/17","","5","1","","","Success",""
"18917","Ahmedabad","Payment of Wages","Form II Register of Deduction","Monthly","25/07/17","","5","1","","","Success",""
"18918","Ahmedabad","Payment of Wages","Form III Register of Advance","Monthly","25/07/17","","5","1","","","Success",""
"18919","Ahmedabad","Payment of Wages","Form IV Annual Return","Yearly","31/01/18","","20","1","","","Success",""
"18669","Ahmedabad","Professional Tax","Registration","As Needed","","","0","1","","","Success",""
"18920","Ahmedabad","Professional Tax","Remittance Monthly/Half Yearly/Annual","Monthly","28/07/17","","20","1","","","Success",""
"18921","Ahmedabad","Professional Tax","Returns under the Act","Monthly","28/07/17","","20","1","","","Success",""
