DocID,Site,Contractor,Act,Activity,Frequency,NextDueDate,RemindDays,IsActive,Maker,Checker
"49","Chennai","Contractor A","CLRA '- PE","Submission of Returns","Yearly","28/02/2017","0","1","",""
"54","Chennai","Contractor A","PF","Withdrawal","As Needed","02/01/2017","0","1","",""
"55","Chennai","Contractor B","CLRA '- PE","Submission of Returns","Yearly","28/02/2017","0","1","",""
"60","Chennai","Contractor B","PF","Withdrawal","As Needed","02/01/2017","0","1","",""
"1","Delhi","Contractor A","Bonus Act","Form A Computation of Allocable Surplus","Yearly","31/10/2017","0","1","",""
"2","Delhi","Contractor A","Bonus Act","Form B Set '-on and set'-off of Allocable Surplus","Yearly","31/10/2017","0","1","",""
"3","Delhi","Contractor A","CLRA '- Cont","Form X Employment Card","Monthly","02/01/2017","0","1","",""
"4","Delhi","Contractor A","CLRA '- Cont","Form XI Services Certificate","Monthly","02/01/2017","0","1","",""
"5","Delhi","Contractor A","CLRA '- Cont","Form XIX Wage Slip","Monthly","02/01/2017","0","1","",""
"6","Delhi","Contractor A","CLRA '- Cont","Form XVI Register of Employment","Monthly","02/01/2017","0","1","",""
"7","Delhi","Contractor A","CLRA '- Cont","Form XVII Register of wages","Monthly","02/01/2017","0","1","",""
"8","Delhi","Contractor A","CLRA '- Cont","Form XX Register of Deductions for Damage or Loss","Monthly","02/01/2017","0","1","",""
"9","Delhi","Contractor A","CLRA '- Cont","Form XXI Register of Fines","Monthly","02/01/2017","0","1","",""
"12110","Delhi","Test Contractor","Apprentices Act","Half Yearly (Form APP'-2 Details of new apprentics)","Half Yearly","30/10/1901","10","1","",""
"24","Kolkata","Contractor A","ESI","Accident Report","As Needed","02/01/2017","0","1","",""
"25","Kolkata","Contractor A","ESI","ESIC ECR","Monthly","02/01/2017","0","1","",""
"26","Kolkata","Contractor A","ESI","Monthly Deposit","Monthly","02/01/2017","0","1","",""
"27","Kolkata","Contractor A","ESI","Registration","As Needed","02/01/2017","0","1","",""
"28","Kolkata","Contractor A","ESI","Return","Half Yearly","30/04/2017","0","1","",""
"29","Kolkata","Contractor A","Gratuity","Form A Notice of Opening","As Needed","02/01/2017","0","1","",""
"30","Kolkata","Contractor A","Gratuity","Form B If Any Change Occurred","As Needed","02/01/2017","0","1","",""
"31","Kolkata","Contractor A","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals","As Needed","02/01/2017","0","1","",""
"32","Kolkata","Contractor A","Gratuity","Obtaining of Form F from Individuals","As Needed","02/01/2017","0","1","",""
"33","Kolkata","Contractor A","Maternity","Register Maintenance","Monthly","02/01/2017","0","1","",""
"34","Kolkata","Contractor A","Maternity","Submission of Annual Returns","Yearly","28/02/2017","0","1","",""
"19","Kolkata","Contractor A","PF","Monthly Deposit","Monthly","02/01/2017","0","1","",""
"20","Kolkata","Contractor A","PF","PF ECR","Monthly","02/01/2017","0","1","",""
"21","Kolkata","Contractor A","PF","Registration","As Needed","02/01/2017","0","1","",""
"22","Kolkata","Contractor A","PF","Transfer","As Needed","02/01/2017","0","1","",""
"23","Kolkata","Contractor A","PF","Withdrawal","As Needed","02/01/2017","0","1","",""
"35","Kolkata","Contractor B","LWF","Annual Return","Yearly","28/02/2017","0","1","",""
"36","Kolkata","Contractor B","LWF","Register of Payment of Unclaimed Wages","Yearly","28/02/2017","0","1","",""
"37","Kolkata","Contractor B","LWF","Register of Wages","Monthly","02/01/2017","0","1","",""
"38","Kolkata","Contractor B","LWF","Registration if Applicable","As Needed","02/01/2017","0","1","",""
"39","Kolkata","Contractor B","LWF","Remittance Returns cum Challans","Monthly","02/01/2017","0","1","",""
"40","Kolkata","Contractor B","Min. Wages","Form I Register of Fine","Monthly","02/01/2017","0","1","",""
"41","Kolkata","Contractor B","Min. Wages","Form II Register of Deduction","Monthly","02/01/2017","0","1","",""
"42","Kolkata","Contractor B","Min. Wages","Form III Annual Returns","Yearly","28/02/2017","0","1","",""
"43","Kolkata","Contractor B","Min. Wages","Form IV Register of Overtime","Monthly","02/01/2017","0","1","",""
"44","Kolkata","Contractor B","S and E","Employment Register","Monthly","02/01/2017","0","1","",""
"45","Kolkata","Contractor B","S and E","Leave Registers","Monthly","02/01/2017","0","1","",""
"46","Kolkata","Contractor B","S and E","Register of Attendance","Monthly","02/01/2017","0","1","",""
"47","Kolkata","Contractor B","S and E","Register of Wages","Monthly","02/01/2017","0","1","",""
"48","Kolkata","Contractor B","S and E","Registration/Renewal/Amendments/Surrender","As Needed","02/01/2017","0","1","",""
"10","Mumbai","Contractor B","Bonus Act","Form C Register of Bonus Paid to Employees","Yearly","30/11/2017","0","1","",""
"11","Mumbai","Contractor B","Bonus Act","Form D Annual Return","Yearly","31/12/2017","0","1","",""
"12","Mumbai","Contractor B","CLRA '- Cont","Form XXII Register of Advances","Monthly","02/01/2017","0","1","",""
"13","Mumbai","Contractor B","CLRA '- Cont","Form XXIII Register of Over Times","Monthly","02/01/2017","0","1","",""
"14","Mumbai","Contractor B","CLRA '- Cont","From XIII Register of workmen by Contractor","Monthly","02/01/2017","0","1","",""
"15","Mumbai","Contractor B","CLRA '- Cont","Obtaining of License as a CONTRACTOR","As Needed","02/01/2017","0","1","",""
"16","Mumbai","Contractor B","CLRA '- Cont","Status of Form V","As Needed","02/01/2017","0","1","",""
"17","Mumbai","Contractor B","CLRA '- Cont","Submission of Form VI'-A (commencement/Completion of work)","As Needed","02/01/2017","0","1","",""
"18","Mumbai","Contractor B","CLRA '- Cont","Submission of Returns","Half Yearly","28/02/2017","0","1","",""
